"display_name","first_season","last_season","span","is_unresolved","max_gap","seasons_count","db_games","db_tries","db_points","approved_afltables_name","afl_games_record_count","afl_games_total","games_diff","afl_games_urls","afl_games_rows","afl_points_record_count","afl_points_tries_total","afl_points_goals_total","afl_points_fg1_total","afl_points_fg2_total","afl_points_total","tries_diff","points_diff","afl_points_urls","afl_points_rows","discrepancy_flags"
"Kurt Mann","2014","2026","12","0","2014","14","231","49","197","","1","228","3","players/K/Kurt_Mann.html","Kurt Mann 2014-2026 G:228","1","49","0","1","0","197","0","0","players/K/Kurt_Mann.html","Kurt Mann 2014-2026 T:49 P:197","large_career_gap | games_mismatch"
"Kyle Feldt","2013","2024","11","0","2013","13","221","151","692","","1","217","4","players/K/Kyle_Feldt.html","Kyle Feldt 2013-2024 G:217","1","151","44","0","0","692","0","0","players/K/Kyle_Feldt.html","Kyle Feldt 2013-2024 T:151 P:692","large_career_gap | games_mismatch"
"Martin Taupau","2010","2025","15","0","1","16","261","21","84","","1","256","5","players/M/Martin_Taupau.html","Martin Taupau 2010-2025 G:256","1","21","0","0","0","84","0","0","players/M/Martin_Taupau.html","Martin Taupau 2010-2025 T:21 P:84","games_mismatch"
"Michael Jennings","2007","2024","17","0","2007","16","312","157","628","","1","307","5","players/M/Michael_Jennings.html","Michael Jennings 2007-2024 G:307","1","157","0","0","0","628","0","0","players/M/Michael_Jennings.html","Michael Jennings 2007-2024 T:157 P:628","large_career_gap | games_mismatch"
"Roger Tuivasa-Sheck","2012","2026","14","0","3","13","243","77","312","","1","242","1","players/R/Roger_Tuivasa-Sheck.html","Roger Tuivasa-Sheck 2012-2026 G:242","1","77","2","0","0","312","0","0","players/R/Roger_Tuivasa-Sheck.html","Roger Tuivasa-Sheck 2012-2026 T:77 P:312","games_mismatch"
"Russel Gartner","1975","1989","14","1","2","14","174","74","254","","0","0","","","","1","75","0","0","0","257","-1","-3","players/R/Russel_Gartner.html","Russel Gartner 1975-1989 T:75 P:257","unresolved_db_player | missing_afltables_games_record | tries_mismatch | points_mismatch"
"Steve Rogers","1973","1985","12","1","1973","14","198","91","1367","","0","0","","","","1","90","544","10","0","1376","1","-9","players/S/Steve_Rogers.html","Steve Rogers 1973-1985 T:90 P:1376","unresolved_db_player | large_career_gap | missing_afltables_games_record | tries_mismatch | points_mismatch"
"Tariq Sims","2011","2023","12","0","2011","14","239","44","176","","1","236","3","players/T/Tariq_Sims.html","Tariq Sims 2011-2023 G:236","1","44","0","0","0","176","0","0","players/T/Tariq_Sims.html","Tariq Sims 2011-2023 T:44 P:176","large_career_gap | games_mismatch"
"Trent Merrin","2009","2021","12","0","2009","13","224","21","84","","1","223","1","players/T/Trent_Merrin.html","Trent Merrin 2009-2021 G:223","1","21","0","0","0","84","0","0","players/T/Trent_Merrin.html","Trent Merrin 2009-2021 T:21 P:84","large_career_gap | games_mismatch"
"Tyrone Peachey","2013","2024","11","0","2013","13","217","60","252","","1","209","8","players/T/Tyrone_Peachey.html","Tyrone Peachey 2013-2024 G:209","1","60","6","0","0","252","0","0","players/T/Tyrone_Peachey.html","Tyrone Peachey 2013-2024 T:60 P:252","large_career_gap | games_mismatch"
"Valentine Holmes","2014","2026","12","0","2014","13","230","119","1433","","1","230","0","players/V/Valentine_Holmes.html","Valentine Holmes 2014-2026 G:230","1","119","472","8","2","1432","0","1","players/V/Valentine_Holmes.html","Valentine Holmes 2014-2026 T:119 P:1432","large_career_gap | points_mismatch"
