competition,season,round_label,round_index,match_key,date,home,away,home_score,away_score,venue,attendance,referee,url_afltables,url_nrl
SOO,2005,Game 1,1,2005-Game 1-Maroons-v-Blues,25-May-2005,Maroons,Blues,24,20,Lang Park,52484,Paul Simpkins,https://afltables.com/rl/soo/game73.html,https://www.nrl.com/draw/state-of-origin/2005/game-1/maroons-v-blues/
SOO,2005,Game 2,2,2005-Game 2-Blues-v-Maroons,15-Jun-2005,Blues,Maroons,32,22,Stadium_Australia,82389,Steve Clark,https://afltables.com/rl/soo/game74.html,https://www.nrl.com/draw/state-of-origin/2005/game-2/blues-v-maroons/
SOO,2005,Game 3,3,2005-Game 3-Maroons-v-Blues,6-Jul-2005,Maroons,Blues,10,32,Lang Park,52436,Paul Simpkins,https://afltables.com/rl/soo/game75.html,https://www.nrl.com/draw/state-of-origin/2005/game-3/maroons-v-blues/
SOO,2006,Game 1,1,2006-Game 1-Blues-v-Maroons,24-May-2006,Blues,Maroons,17,16,Stadium_Australia,72773,Sean Hampstead,https://afltables.com/rl/soo/game76.html,https://www.nrl.com/draw/state-of-origin/2006/game-1/blues-v-maroons/
SOO,2006,Game 2,2,2006-Game 2-Maroons-v-Blues,14-Jun-2006,Maroons,Blues,30,6,Lang Park,52468,Steve Clark,https://afltables.com/rl/soo/game77.html,https://www.nrl.com/draw/state-of-origin/2006/game-2/maroons-v-blues/
SOO,2006,Game 3,3,2006-Game 3-Blues-v-Maroons,5-Jul-2006,Blues,Maroons,14,16,Docklands,54833,Steve Clark,https://afltables.com/rl/soo/game78.html,https://www.nrl.com/draw/state-of-origin/2006/game-3/blues-v-maroons/
SOO,2007,Game 1,1,2007-Game 1-Maroons-v-Blues,23-May-2007,Maroons,Blues,25,18,Lang Park,52498,Paul Simpkins,https://afltables.com/rl/soo/game79.html,https://www.nrl.com/draw/state-of-origin/2007/game-1/maroons-v-blues/
SOO,2007,Game 2,2,2007-Game 2-Blues-v-Maroons,13-Jun-2007,Blues,Maroons,6,10,Stadium_Australia,76924,Shayne Hayne,https://afltables.com/rl/soo/game80.html,https://www.nrl.com/draw/state-of-origin/2007/game-2/blues-v-maroons/
SOO,2007,Game 3,3,2007-Game 3-Maroons-v-Blues,4-Jul-2007,Maroons,Blues,4,18,Lang Park,52469,Paul Simpkins,https://afltables.com/rl/soo/game81.html,https://www.nrl.com/draw/state-of-origin/2007/game-3/maroons-v-blues/
SOO,2008,Game 1,1,2008-Game 1-Blues-v-Maroons,21-May-2008,Blues,Maroons,18,10,Stadium_Australia,67620,Tony Archer,https://afltables.com/rl/soo/game82.html,https://www.nrl.com/draw/state-of-origin/2008/game-1/blues-v-maroons/
SOO,2008,Game 2,2,2008-Game 2-Maroons-v-Blues,11-Jun-2008,Maroons,Blues,30,0,Lang Park,52416,Tony Archer,https://afltables.com/rl/soo/game83.html,https://www.nrl.com/draw/state-of-origin/2008/game-2/maroons-v-blues/
SOO,2008,Game 3,3,2008-Game 3-Blues-v-Maroons,2-Jul-2008,Blues,Maroons,10,16,Stadium_Australia,78751,Tony Archer,https://afltables.com/rl/soo/game84.html,https://www.nrl.com/draw/state-of-origin/2008/game-3/blues-v-maroons/
SOO,2009,Game 1,1,2009-Game 1-Maroons-v-Blues,03-Jun-2009,Maroons,Blues,28,18,Docklands,50967,"Tony Archer,Shayne Hayne",https://afltables.com/rl/soo/game85.html,https://www.nrl.com/draw/state-of-origin/2009/game-1/maroons-v-blues/
SOO,2009,Game 2,2,2009-Game 2-Blues-v-Maroons,24-Jun-2009,Blues,Maroons,14,24,Stadium_Australia,80459,"Tony Archer,Shayne Hayne",https://afltables.com/rl/soo/game86.html,https://www.nrl.com/draw/state-of-origin/2009/game-2/blues-v-maroons/
SOO,2009,Game 3,3,2009-Game 3-Maroons-v-Blues,15-Jul-2009,Maroons,Blues,16,28,Lang Park,52439,"Tony Archer,Shayne Hayne",https://afltables.com/rl/soo/game87.html,https://www.nrl.com/draw/state-of-origin/2009/game-3/maroons-v-blues/
SOO,2010,Game 1,1,2010-Game 1-Blues-v-Maroons,26-May-2010,Blues,Maroons,24,28,Stadium_Australia,68753,"Tony Archer,Shayne Hayne",https://afltables.com/rl/soo/game88.html,https://www.nrl.com/draw/state-of-origin/2010/game-1/blues-v-maroons/
SOO,2010,Game 2,2,2010-Game 2-Maroons-v-Blues,16-Jun-2010,Maroons,Blues,34,6,Lang Park,52452,"Tony Archer,Shayne Hayne",https://afltables.com/rl/soo/game89.html,https://www.nrl.com/draw/state-of-origin/2010/game-2/maroons-v-blues/
SOO,2010,Game 3,3,2010-Game 3-Blues-v-Maroons,7-Jul-2010,Blues,Maroons,18,23,Stadium_Australia,61259,"Luke Phillips,Shayne Hayne",https://afltables.com/rl/soo/game90.html,https://www.nrl.com/draw/state-of-origin/2010/game-3/blues-v-maroons/
SOO,2011,Game 1,1,2011-Game 1-Maroons-v-Blues,25-May-2011,Maroons,Blues,16,12,Lang Park,52144,"Tony Archer,Jared Maxwell",https://afltables.com/rl/soo/game91.html,https://www.nrl.com/draw/state-of-origin/2011/game-1/maroons-vs-blues/
SOO,2011,Game 2,2,2011-Game 2-Blues-v-Maroons,15-Jun-2011,Blues,Maroons,18,8,Stadium_Australia,81965,"Shayne Hayne,Ben Cummins",https://afltables.com/rl/soo/game92.html,https://www.nrl.com/draw/state-of-origin/2011/game-2/blues-vs-maroons/
SOO,2011,Game 3,3,2011-Game 3-Maroons-v-Blues,6-Jul-2011,Maroons,Blues,34,24,Lang Park,52498,"Gavin Atkins,David Munro",https://afltables.com/rl/soo/game93.html,https://www.nrl.com/draw/state-of-origin/2011/game-3/maroons-vs-blues/
SOO,2012,Game 1,1,2012-Game 1-Blues-v-Maroons,23-May-2012,Blues,Maroons,10,18,Docklands,56021,"Ben Cummins,Matt Cecchin",https://afltables.com/rl/soo/game94.html,https://www.nrl.com/draw/state-of-origin/2012/game-1/blues-vs-maroons/
SOO,2012,Game 2,2,2012-Game 2-Blues-v-Maroons,13-Jun-2012,Blues,Maroons,16,12,Stadium_Australia,83110,"Ben Cummins,Tony Archer",https://afltables.com/rl/soo/game95.html,https://www.nrl.com/draw/state-of-origin/2012/game-2/blues-vs-maroons/
SOO,2012,Game 3,3,2012-Game 3-Maroons-v-Blues,4-Jul-2012,Maroons,Blues,21,20,Lang Park,52437,"Tony Archer,Ben Cummins",https://afltables.com/rl/soo/game96.html,https://www.nrl.com/draw/state-of-origin/2012/game-3/maroons-vs-blues/
SOO,2013,Game 1,1,2013-Game 1-Blues-v-Maroons,05-Jun-2013,Blues,Maroons,14,6,Stadium_Australia,80380,"Shayne Hayne,Ashley Klein",https://afltables.com/rl/soo/game97.html,https://www.nrl.com/draw/state-of-origin/2013/game-1/blues-v-maroons/
SOO,2013,Game 2,2,2013-Game 2-Maroons-v-Blues,26-Jun-2013,Maroons,Blues,26,6,Lang Park,51960,"Shayne Hayne,Ashley Klein",https://afltables.com/rl/soo/game98.html,https://www.nrl.com/draw/state-of-origin/2013/game-2/maroons-v-blues/
SOO,2013,Game 3,3,2013-Game 3-Blues-v-Maroons,17-Jul-2013,Blues,Maroons,10,12,Stadium_Australia,83813,"Shayne Hayne,Ben Cummins",https://afltables.com/rl/soo/game99.html,https://www.nrl.com/draw/state-of-origin/2013/game-3/blues-v-maroons/
