competition,season,round_label,round_index,match_key,date,home,away,home_score,away_score,venue,attendance,referee,url_afltables,url_nrl
SOO,2021,Game 2,2,2021-Game 2-Maroons-v-Blues,27-Jun-2021,Maroons,Blues,0,26,Lang Park,52273,Gerard Sutton,https://afltables.com/rl/soo/game122.html,https://www.nrl.com/draw/state-of-origin/2021/game-2/maroons-v-blues/
SOO,2021,Game 3,3,2021-Game 3-Blues-v-Maroons,14-Jul-2021,Blues,Maroons,18,20,Robina,26307,Gerard Sutton,https://afltables.com/rl/soo/game123.html,https://www.nrl.com/draw/state-of-origin/2021/game-3/blues-v-maroons/
SOO,2022,Game 1,1,2022-Game 1-Blues-v-Maroons,8-Jun-2022,Blues,Maroons,10,16,Stadium_Australia,80512,Ashley Klein,https://afltables.com/rl/soo/game124.html,https://www.nrl.com/draw/state-of-origin/2022/game-1/blues-v-maroons/
SOO,2022,Game 2,2,2022-Game 2-Blues-v-Maroons,26-Jun-2022,Blues,Maroons,44,12,Perth Stadium,59358,Ashley Klein,https://afltables.com/rl/soo/game125.html,https://www.nrl.com/draw/state-of-origin/2022/game-2/blues-v-maroons/
SOO,2022,Game 3,3,2022-Game 3-Maroons-v-Blues,13-Jul-2022,Maroons,Blues,22,12,Lang Park,52385,Ashley Klein,https://afltables.com/rl/soo/game126.html,https://www.nrl.com/draw/state-of-origin/2022/game-3/maroons-v-blues/
SOO,2023,Game 1,1,2023-Game 1-Maroons-v-Blues,31-May-2023,Maroons,Blues,26,18,Adelaide,48613,Ashley Klein,https://afltables.com/rl/soo/game127.html,https://www.nrl.com/draw/state-of-origin/2023/game-1/maroons-v-blues/
SOO,2023,Game 2,2,2023-Game 2-Maroons-v-Blues,21-Jun-2023,Maroons,Blues,32,6,Lang Park,52433,Ashley Klein,https://afltables.com/rl/soo/game128.html,https://www.nrl.com/draw/state-of-origin/2023/game-2/maroons-v-blues/
SOO,2023,Game 3,3,2023-Game 3-Blues-v-Maroons,12-Jul-2023,Blues,Maroons,24,10,Stadium_Australia,75342,Ashley Klein,https://afltables.com/rl/soo/game129.html,https://www.nrl.com/draw/state-of-origin/2023/game-3/blues-v-maroons/
SOO,2024,Game 1,1,2024-Game 1-Blues-v-Maroons,5-Jun-2024,Blues,Maroons,10,38,Stadium_Australia,77214,Ashley Klein,https://afltables.com/rl/soo/game130.html,https://www.nrl.com/draw/state-of-origin/2024/game-1/blues-v-maroons/
SOO,2024,Game 2,2,2024-Game 2-Blues-v-Maroons,26-Jun-2024,Blues,Maroons,38,18,M.C.G.,90084,Ashley Klein,https://afltables.com/rl/soo/game131.html,https://www.nrl.com/draw/state-of-origin/2024/game-2/blues-v-maroons/
SOO,2024,Game 3,3,2024-Game 3-Maroons-v-Blues,17-Jul-2024,Maroons,Blues,4,14,Lang Park,52457,Ashley Klein,https://afltables.com/rl/soo/game132.html,https://www.nrl.com/draw/state-of-origin/2024/game-3/maroons-v-blues/
