scope,season,stat_key,stat_name,anomaly_type,match_label,round_label,entity_label,raw_value,parsed_value,expected_range,notes
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Eels,30,away,111,1.85,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Eels,19,home,197,3.283333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Eels,30,home,119,1.9833333333333334,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Knights,29,away,244,4.066666666666666,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Knights,29,home,262,4.366666666666666,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Magpies,21,away,91,91,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Raiders,1,away,67,67,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Rams,8,home,54,54,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Roosters,15,away,70,70,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Roosters,15,home,55,55,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Sea Eagles,12,away,65,65,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Sea Eagles,12,home,67,67,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Storm,23,away,182,3.033333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Storm,23,home,66,66,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Tigers,4,away,55,55,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Tigers,4,home,94,94,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Warriors,10,away,78,78,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Bulldogs v Warriors,10,home,130,2.1666666666666665,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Broncos,22,away,91,91,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Broncos,22,home,108,1.8,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Bulldogs,9,away,204,3.4,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Bulldogs,9,home,187,3.1166666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Eels,11,away,72,72,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Eels,11,home,99,99,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Knights,6,away,102,1.7,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Raiders,4,away,61,61,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Raiders,4,home,81,81,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Rams,19,away,104,1.7333333333333334,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Roosters,7,away,172,2.8666666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Roosters,7,home,153,2.55,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Storm,15,home,55,55,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Cowboys v Tigers,2,home,64,64,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Bears,18,away,55,55,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Bears,18,home,140,2.3333333333333335,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Broncos,16,away,132,2.2,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Broncos,16,home,89,89,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Bulldogs,22,away,198,3.3,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Bulldogs,25,away,81,81,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Bulldogs,22,home,182,3.033333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Bulldogs,25,home,75,75,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Cowboys,14,away,205,3.4166666666666665,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Cowboys,14,home,202,3.3666666666666667,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Eels,24,away,152,2.533333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Eels,24,home,84,84,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Magpies,1,home,87,87,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Rabbitohs,8,away,70,70,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Roosters,20,away,75,75,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Roosters,20,home,65,65,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Tigers,12,away,161,2.683333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Dragons v Tigers,12,home,206,3.433333333333333,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Eels v Bears,15,away,171,2.85,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Eels v Bears,26,away,75,75,stat-specific sanity range,
team,1998,time_in_possession,Time In Possession,time_in_possession_out_of_range,Eels v Bears,15,home,212,3.533333333333333,stat-specific sanity range,
